"","id","year","disaster_type","iso","country_name","occurrence","total_deaths","affected","injured","homeless","total_affected","total_damage"
"73",5318,1995,"Earthquake","TUR","Turkey",1,94,120000,240,40000,40000,205800
"74",5378,1995,"Flood","IRN","Iran (Islamic Republic of)",3,27,6000,11,250,250,95900
"75",5447,1995,"Landslide","TUR","Turkey",1,74,10000,46,2000,2000,26000
"76",5489,1995,"Storm","KOR","Korea (the Republic of)",2,73,2400,160,2600,2600,565000
"77",5501,1995,"Storm","RUS","Russian Federation (the)",3,145,1350,10,1200,1200,44000
"78",5583,1996,"Earthquake","ECU","Ecuador",1,27,15000,180,15525,15525,7000
"79",5585,1996,"Earthquake","IDN","Indonesia",2,175,20125,423,18090,18090,5400
"80",5630,1996,"Flood","AUS","Australia",2,5,12700,26,500,500,336300
"81",5674,1996,"Flood","ZAF","South Africa",2,34,7000,30,500,500,6860
"82",5772,1996,"Storm","MEX","Mexico",4,16,1000,80,18750,18750,10
"83",5873,1997,"Earthquake","CHL","Chile",1,8,40000,98,13000,13000,48000
"84",5957,1997,"Flood","ECU","Ecuador",2,245,46907,91,2009,2009,271000
"85",5985,1997,"Flood","SYC","Seychelles",1,5,1125,2,110,110,1700
"86",6050,1997,"Storm","BLR","Belarus",1,5,21045,45,300,300,33000
"87",6187,1998,"Earthquake","IDN","Indonesia",2,34,4110,88,2750,2750,2e+05
"88",6268,1998,"Flood","IRN","Iran (Islamic Republic of)",3,157,40576,24,16000,16000,148500
"89",6292,1998,"Flood","SVK","Slovakia",1,54,10850,61,756,756,45000
"90",6296,1998,"Flood","TJK","Tajikistan",2,51,40935,39,916,916,66000
"91",6305,1998,"Flood","VNM","Viet Nam",1,45,31030,5,1470,1470,13700
"92",6389,1998,"Storm","KOR","Korea (the Republic of)",3,100,2000,3,2376,2376,28754
"93",6490,1998,"Wildfire","USA","United States of America (the)",4,2,41032,124,65,65,281100
"94",6516,1999,"Earthquake","AZE","Azerbaijan",1,1,750,20,8400,8400,5000
"95",6523,1999,"Earthquake","IDN","Indonesia",1,5,14000,220,2700,2700,3900
"96",6528,1999,"Earthquake","RUS","Russian Federation (the)",2,1,6000,20,5240,5240,900
"97",6600,1999,"Flood","COL","Colombia",3,41,1e+05,40,51350,51350,3
"98",6606,1999,"Flood","FRA","France",3,36,3900,5,200,200,5e+05
"99",6617,1999,"Flood","JPN","Japan",2,60,24000,28,111,111,107000
"100",6618,1999,"Flood","PRK","Korea (the Democratic People's Republic of)",1,42,39136,94,2905,2905,2000
"101",6638,1999,"Flood","ROU","Romania",2,34,8418,25,590,590,60000
"102",6646,1999,"Flood","TJK","Tajikistan",1,27,6366,23,3003,3003,6154
"103",6888,2000,"Earthquake","JPN","Japan",2,1,6790,130,312,312,5e+05
"104",6982,2000,"Flood","AGO","Angola",4,46,70000,11,9000,9000,10000
"105",6983,2000,"Flood","ARG","Argentina",4,13,30000,40,7800,7800,3e+05
"106",7014,2000,"Flood","KOR","Korea (the Republic of)",2,20,500,3,2586,2586,50000
"107",7080,2000,"Landslide","IDN","Indonesia",4,126,54085,19,2645,2645,54600
"108",7145,2000,"Storm","MOZ","Mozambique",4,32,350,4,1050,1050,1000
"109",7164,2000,"Storm","VNM","Viet Nam",7,23,2505,169,11860,11860,26035
"110",7364,2001,"Flood","BRA","Brazil",3,85,1750,196,9100,9100,45000
"111",7392,2001,"Flood","PRK","Korea (the Democratic People's Republic of)",2,124,157500,84,30000,30000,9400
"112",7404,2001,"Flood","NGA","Nigeria",3,200,84065,50,5802,5802,3000
"113",7458,2001,"Landslide","CHN","China",6,168,10000,48,11585,11585,60000
"114",7503,2001,"Storm","ARG","Argentina",2,20,500,150,2000,2000,15000
"115",7539,2001,"Storm","RUS","Russian Federation (the)",2,8,12000,28,400,400,17200
"116",7550,2001,"Storm","VNM","Viet Nam",3,53,177450,89,23100,23100,83200
"117",7661,2002,"Earthquake","GEO","Georgia",1,6,18000,70,1086,1086,350000
"118",7675,2002,"Earthquake","TUR","Turkey",1,42,222000,327,30000,30000,95000
"119",7758,2002,"Flood","ECU","Ecuador",2,31,51600,6,3027,3027,16000
